MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,PRICE,AvgRoomsPerHousehold,AvgBedroomsPerHousehold,PopulationPerHousehold,RoomsPerBedroom
5.6431,52.0,5.817351598173516,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,2.2831541218637996,0.4211469534050179,219.0,5.421276595744681
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,2.879646017699115,0.4955752212389381,259.0,5.810714285714285
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,2.225181598062954,0.5157384987893462,193.0,4.314553990610329
3.6591,52.0,4.9319066147859925,0.95136186770428,1094.0,2.1284046692607004,37.84,-122.25,2.992,2.317184643510055,0.44698354661791584,514.0,5.184049079754602
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,2.6828003457216942,0.5937770095073466,647.0,4.518195050946143
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,2.1185737976782755,0.5514096185737977,595.0,3.8421052631578947
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,2.288201160541586,0.45583494519664736,714.0,5.01980198019802
3.2031,52.0,5.477611940298507,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815,2.4197802197802196,0.4769230769230769,402.00000000000006,5.07373271889401
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,2.3291223404255317,0.5,734.0,4.658244680851063
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,2.268670309653916,0.43169398907103823,468.0,5.255274261603375
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,2.017391304347826,0.553623188405797,174.0,3.6439790575916233
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774196,37.85,-122.26,1.592,2.18069306930693,0.5165016501650165,619.9999999999999,4.222044728434504
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,1.606886657101865,0.40602582496413203,264.0,3.957597173144876
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,2.4791929382093314,0.43757881462799497,331.0,5.665706051873198
