MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,PRICE,AvgRoomsPerHousehold,AvgBedroomsPerHousehold,PopulationPerHousehold,RoomsPerBedroom
5.1104,26.0,5.530066815144767,0.9175946547884188,1538.0,3.425389755011136,33.89,-118.06,2.205,1.61443433029909,0.2678803641092328,449.0,6.026699029126214
1.5,17.0,3.1972318339100347,1.0,609.0,2.10726643598616,37.81,-122.28,1.625,1.5172413793103443,0.4745484400656813,288.99999999999994,3.1972318339100347
1.9286,35.0,4.480662983425415,1.0856353591160222,1296.0,3.580110497237569,34.13,-117.31,0.685,1.251543209876543,0.3032407407407407,362.0,4.127226463104326
4.8667,44.0,5.990610328638498,1.0985915492957747,538.0,2.5258215962441315,33.86,-118.14,2.183,2.37174721189591,0.4349442379182156,213.0,5.452991452991453
5.4273,44.0,5.712,0.9546666666666668,846.0,2.256,37.33,-121.93,4.21,2.5319148936170213,0.4231678486997637,375.00000000000006,5.983240223463686
3.9167,36.0,5.695652173913044,0.9057971014492754,408.0,2.9565217391304346,32.62,-117.06,1.897,1.9264705882352944,0.3063725490196078,138.0,6.288
3.3724,15.0,5.4078711985688726,1.114490161001789,1283.0,2.295169946332737,33.03,-117.08,1.379,2.3561964146531564,0.485580670303975,559.0,4.852327447833065
1.75,35.0,4.218446601941747,1.1084142394822007,2016.0,3.262135922330097,38.13,-121.27,0.829,1.293154761904762,0.3397817460317461,618.0,3.8058394160583937
6.7449,44.0,7.690476190476191,1.1156462585034013,763.0,2.595238095238096,34.45,-119.73,4.156,2.9633027522935773,0.4298820445609435,293.99999999999994,6.89329268292683
2.3849,11.0,4.983529411764706,1.0341176470588236,2410.0,2.835294117647059,37.59,-120.96,1.22,1.7576763485477178,0.3647302904564315,850.0,4.819112627986348
1.0955,17.0,4.147766323024055,1.0206185567010309,2487.0,4.27319587628866,37.29,-120.49,0.627,0.970647366304785,0.2388419782870928,582.0,4.063973063973065
6.5483,20.0,7.588516746411483,0.8947368421052632,699.0,3.3444976076555024,34.3,-118.71,3.35,2.2689556509299,0.2675250357653791,209.0,8.481283422459892
3.125,14.0,7.271111111111111,1.1244444444444444,766.0,3.4044444444444446,37.04,-119.94,0.885,2.135770234986945,0.3302872062663185,225.0,6.466403162055336
5.0862,37.0,5.281081081081081,0.9945945945945946,967.0,2.6135135135135137,34.23,-118.25,2.613,2.0206825232678383,0.3805584281282316,370.0,5.309782608695651
1.9706,41.0,3.891992551210428,0.9869646182495344,2043.0,3.804469273743017,34.09,-118.19,1.442,1.0230053842388644,0.2594224180127263,537.0,3.943396226415094
2.6607,22.0,6.508021390374331,1.1978609625668448,537.0,2.871657754010695,39.34,-121.67,0.846,2.266294227188082,0.4171322160148975,187.0,5.433035714285714
6.213,50.0,6.866666666666666,1.0444444444444445,121.0,2.688888888888889,34.21,-118.23,2.85,2.5537190082644625,0.3884297520661157,44.99999999999999,6.574468085106382
1.4577,38.0,3.981182795698925,0.9489247311827956,1543.0,4.147849462365591,36.71,-119.75,0.498,0.9598185353208036,0.2287751134154245,372.00000000000006,4.195467422096318
2.1955,46.0,5.695020746887967,1.1265560165975104,1423.0,2.9522821576763487,35.13,-119.46,0.269,1.9290231904427264,0.38158819395643,482.0,5.055248618784531
3.35,18.0,5.7106382978723405,1.0184397163120569,1731.0,2.4553191489361703,40.49,-122.31,1.184,2.3258232235701906,0.414789139225881,705.0,5.607242339832868
4.9609,29.0,5.45398773006135,1.01840490797546,597.0,3.6625766871165646,33.91,-118.11,1.867,1.4891122278056952,0.2780569514237855,163.0,5.355421686746989
3.6125,15.0,5.917808219178082,1.1917808219178083,208.0,2.8493150684931505,38.53,-120.59,1.0,2.076923076923077,0.4182692307692308,73.0,4.96551724137931
1.7125,27.0,5.756756756756757,1.1891891891891893,464.0,3.135135135135135,39.94,-122.0,0.582,1.836206896551724,0.3793103448275862,148.0,4.840909090909091
5.62,36.0,6.228571428571429,1.031746031746032,786.0,2.495238095238096,33.81,-118.1,2.396,2.4961832061068696,0.4134860050890586,314.99999999999994,6.036923076923075
4.6182,42.0,5.85838779956427,1.1111111111111112,1023.0,2.2287581699346406,36.59,-121.9,3.01,2.6285434995112413,0.4985337243401759,459.0,5.272549019607843
3.8438,37.0,5.035046728971962,1.0420560747663552,1255.0,2.932242990654206,37.66,-122.41,2.507,1.7171314741035857,0.3553784860557769,428.0,4.831838565022421
1.6343,38.0,3.670157068062827,0.9685863874345548,970.0,2.5392670157068062,38.63,-121.44,0.71,1.445360824742268,0.3814432989690721,382.0,3.7891891891891896
2.5104,30.0,3.916923076923077,1.0553846153846154,1082.0,3.329230769230769,34.43,-119.69,2.281,1.1765249537892792,0.3170055452865065,325.0,3.711370262390671
3.099,27.0,4.191122071516646,1.0875462392108508,2465.0,3.0394574599260173,33.89,-118.09,1.666,1.3789046653144017,0.3578093306288032,811.0,3.85374149659864
2.2042,33.0,3.492063492063492,1.0828924162257496,1057.0,1.8641975308641976,32.75,-117.24,2.313,1.873226111636708,0.5808893093661306,567.0,3.224755700325733
3.0864,29.0,6.16751269035533,1.137055837563452,1087.0,2.7588832487309647,38.62,-121.32,1.779,2.235510579576817,0.4121435142594297,394.0,5.4241071428571415
